French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
à,at
a,has
ne,not
les,them
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,of the
moi,me
qui,who
nous,we
y,Y
mais,but
me,me
dans,in
du,from
bien,good
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my 
suis,am
te,you
au,to
avec,with
va,go
oui,yes
toi,you
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,where
votre,your
pourquoi,why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,go
dire,say
alors,then
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,same
jamais,never
aussi,too
voir,see
chose,thing
allez,come on
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,have
peut,may
autre,other
m,M
encore,Again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,still
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,OK
vu,seen
monde,world
quelque,some
fois,time
aller,go
trop,too
viens,come
crois,believe
dieu,god
dois,must
homme,man
père,dad
sûr,sure
aux,to
leur,their
avant,before
étais,is
besoin,need
femme,women
aime,love
personne,nobody
avais,had
chez,at the house of
vrai,true
ans,year
mal,wrong
ses,his
parler,talk
vos,your
après,after
mort,dead
veut,wanna
eu,eu
sera,will be
bonne,good
parce,by
mieux,better
petit,little
voilà,so
tes,your 
ca,that
dis,say
beaucoup,a lot
depuis,from
doit,must
vois,see 
mère,mother
vas,go
monsieur,sir
quel,what
déjà,already
fille,daughter
gens,people
donc,so
jour,day
soir,evening
autres,others
ii,II
toute,all
bonjour,hello
ll,ll
maison,home
nom,name
argent,silver
nos,our
ouais,yeah
pense,think
merde,shit
nuit,night
papa,father
cela,that
salut,Hello
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,arrived
seul,only
vite,quick
prendre,take
regarde,looked
air,air
soit,that is
trois,three
quelle,what
passé,past
savoir,to know
plaît,jail
choses,things
moins,less
fils,son
entre,Between
bas,down
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,done
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,raison
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,OK
jours,days
dû,from
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,to help
chance,chance
savez,know
partir,leave
sait,knows
combien,How many
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,gate
coup,cut
serait,would be
venir,come
hui,hui
famille,family
travail,work
pu,could
seule,only
sens,meaning
ni,neither
allons,lets go
revoir,see again
idée,idea
putain,whore
passer,pass
contre,versus
comprends,understand
entendu,understood
trouvé,found
trouver,to find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,some 
attention,Warning
demande,request
chercher,look for
sous,under
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,go out
question,question
histoire,story
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,town
nouveau,new
truc,thing
tiens,here
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave alone
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
heures,hours
